	Site_1	Site_2	Species	Site_3	New_name
B36	Cn	Control	Common	Control	Common_Cn_1
B37	Cn	Control	Common	Control	Common_Cn_2
B38	Cn	Control	Common	Control	Common_Cn_3
B39	Cn	Control	Common	Control	Common_Cn_4
B40	Cn	Control	Common	Control	Common_Cn_5
B6	Cs	Control	Common	Control	Common_Cs_1
B7	Cs	Control	Common	Control	Common_Cs_2
B8	Cs	Control	Common	Control	Common_Cs_3
B9	Cs	Control	Common	Control	Common_Cs_4
B10	Cs	Control	Common	Control	Common_Cs_5
B31	Vn	Vent	Common	Vn	Common_Vn_1
B32	Vn	Vent	Common	Vn	Common_Vn_2
B33	Vn	Vent	Common	Vn	Common_Vn_3
B34	Vn	Vent	Common	Vn	Common_Vn_4
B35	Vn	Vent	Common	Vn	Common_Vn_5
B1	Vs	Vent	Common	Vs	Common_Vs_1
B2	Vs	Vent	Common	Vs	Common_Vs_2
B3	Vs	Vent	Common	Vs	Common_Vs_3
B4	Vs	Vent	Common	Vs	Common_Vs_4
B5	Vs	Vent	Common	Vs	Common_Vs_5
B46	Cn	Control	Yaldwyn	Control	Yaldwyn_Cn_1
B47	Cn	Control	Yaldwyn	Control	Yaldwyn_Cn_2
B48	Cn	Control	Yaldwyn	Control	Yaldwyn_Cn_3
B49	Cn	Control	Yaldwyn	Control	Yaldwyn_Cn_4
B50	Cn	Control	Yaldwyn	Control	Yaldwyn_Cn_5
B16	Cs	Control	Yaldwyn	Control	Yaldwyn_Cs_1
B17	Cs	Control	Yaldwyn	Control	Yaldwyn_Cs_2
B18	Cs	Control	Yaldwyn	Control	Yaldwyn_Cs_3
B19	Cs	Control	Yaldwyn	Control	Yaldwyn_Cs_4
B20	Cs	Control	Yaldwyn	Control	Yaldwyn_Cs_5
B41	Vn	Vent	Yaldwyn	Vn	Yaldwyn_Vn_1
B42	Vn	Vent	Yaldwyn	Vn	Yaldwyn_Vn_2
B43	Vn	Vent	Yaldwyn	Vn	Yaldwyn_Vn_3
B44	Vn	Vent	Yaldwyn	Vn	Yaldwyn_Vn_4
B45	Vn	Vent	Yaldwyn	Vn	Yaldwyn_Vn_5
B11	Vs	Vent	Yaldwyn	Vs	Yaldwyn_Vs_1
B12	Vs	Vent	Yaldwyn	Vs	Yaldwyn_Vs_2
B13	Vs	Vent	Yaldwyn	Vs	Yaldwyn_Vs_3
B14	Vs	Vent	Yaldwyn	Vs	Yaldwyn_Vs_4
B15	Vs	Vent	Yaldwyn	Vs	Yaldwyn_Vs_5
B56	Cn	Control	Blue_eyed	Control	Blue_eyed_Cn_1
B57	Cn	Control	Blue_eyed	Control	Blue_eyed_Cn_2
B58	Cn	Control	Blue_eyed	Control	Blue_eyed_Cn_3
B59	Cn	Control	Blue_eyed	Control	Blue_eyed_Cn_4
B60	Cn	Control	Blue_eyed	Control	Blue_eyed_Cn_5
B26	Cs	Control	Blue_eyed	Control	Blue_eyed_Cs_1
B27	Cs	Control	Blue_eyed	Control	Blue_eyed_Cs_2
B28	Cs	Control	Blue_eyed	Control	Blue_eyed_Cs_3
B29	Cs	Control	Blue_eyed	Control	Blue_eyed_Cs_4
B30	Cs	Control	Blue_eyed	Control	Blue_eyed_Cs_5
B51	Vn	Vent	Blue_eyed	Vn	Blue_eyed_Vn_1
B52	Vn	Vent	Blue_eyed	Vn	Blue_eyed_Vn_2
B53	Vn	Vent	Blue_eyed	Vn	Blue_eyed_Vn_3
B54	Vn	Vent	Blue_eyed	Vn	Blue_eyed_Vn_4
B55	Vn	Vent	Blue_eyed	Vn	Blue_eyed_Vn_5
B21	Vs	Vent	Blue_eyed	Vs	Blue_eyed_Vs_1
B22	Vs	Vent	Blue_eyed	Vs	Blue_eyed_Vs_2
B23	Vs	Vent	Blue_eyed	Vs	Blue_eyed_Vs_3
B24	Vs	Vent	Blue_eyed	Vs	Blue_eyed_Vs_4
B25	Vs	Vent	Blue_eyed	Vs	Blue_eyed_Vs_5
B66	Cn	Control	Blenny	Control	Blenny_Cn_1
B69	Cn	Control	Blenny	Control	Blenny_Cn_2
B67	Cs	Control	Blenny	Control	Blenny_Cs_1
B68	Cs	Control	Blenny	Control	Blenny_Cs_2
B76	Cs	Control	Blenny	Control	Blenny_Cs_3
B77	Cs	Control	Blenny	Control	Blenny_Cs_4
B78	Cs	Control	Blenny	Control	Blenny_Cs_5
B79	Cs	Control	Blenny	Control	Blenny_Cs_6
B61	Vn	Vent	Blenny	Vn	Blenny_Vn_1
B62	Vn	Vent	Blenny	Vn	Blenny_Vn_2
B63	Vn	Vent	Blenny	Vn	Blenny_Vn_3
B64	Vn	Vent	Blenny	Vn	Blenny_Vn_4
B65	Vn	Vent	Blenny	Vn	Blenny_Vn_5
B71	Vs	Vent	Blenny	Vs	Blenny_Vs_1
B72	Vs	Vent	Blenny	Vs	Blenny_Vs_2
B73	Vs	Vent	Blenny	Vs	Blenny_Vs_3
B74	Vs	Vent	Blenny	Vs	Blenny_Vs_4
B75	Vs	Vent	Blenny	Vs	Blenny_Vs_5
