	Site_1	Site_2	Species	Site_3	Date	pH_Meth	pH_Mett	Salinity	Sea_condition	Length	Gender
Common_Vs_1	1	1	1	1	1	8.07	7.96	34.1	1	4.7	NA
Common_Vs_2	1	1	1	1	1	8.09	8.01	34.4	1	4.2	NA
Common_Vs_3	1	1	1	1	1	8.09	7.95	35.4	1	4.4	NA
Common_Vs_4	1	1	1	1	1	8.16	8.03	35.4	1	4.6	1
Common_Vs_5	1	1	1	1	2	NA	NA	NA	1	5.1	2
Common_Cs_1	2	2	1	2	1	8.16	8.04	34.9	1	4.1	NA
Common_Cs_2	2	2	1	2	1	8.18	8.04	32.1	1	4.6	1
Common_Cs_3	2	2	1	2	1	8.17	8.03	35.6	1	4.2	1
Common_Cs_4	2	2	1	2	1	8.17	8.04	35.8	1	5.6	2
Common_Cs_5	2	2	1	2	1	8.18	8.05	35.8	1	4.3	2
Yaldwyn_Vs_1	1	1	2	1	2	7.93	8	33.5	2	3.5	2
Yaldwyn_Vs_2	1	1	2	1	2	7.94	8.01	33.3	2	3.5	NA
Yaldwyn_Vs_3	1	1	2	1	2	7.83	7.86	34.1	2	5.2	1
Yaldwyn_Vs_4	1	1	2	1	2	7.96	8.01	33.8	2	3.6	NA
Yaldwyn_Vs_5	1	1	2	1	2	7.93	7.97	33.8	2	3.9	NA
Yaldwyn_Cs_1	2	2	2	2	2	8.01	8.05	34.1	2	3.7	NA
Yaldwyn_Cs_2	2	2	2	2	2	7.99	8.05	31.2	2	4	NA
Yaldwyn_Cs_3	2	2	2	2	2	8	8.02	34	2	3.9	NA
Yaldwyn_Cs_4	2	2	2	2	2	7.99	8.03	34	2	5	NA
Yaldwyn_Cs_5	2	2	2	2	2	7.94	8	33.4	2	3.7	NA
Blue_eyed_Vs_1	1	1	3	1	2	NA	NA	NA	NA	2.6	2
Blue_eyed_Vs_2	1	1	3	1	2	NA	NA	NA	NA	2.9	NA
Blue_eyed_Vs_3	1	1	3	1	2	NA	NA	NA	NA	2.6	NA
Blue_eyed_Vs_4	1	1	3	1	2	NA	NA	NA	NA	2.2	NA
Blue_eyed_Vs_5	1	1	3	1	2	NA	NA	NA	NA	3	NA
Blue_eyed_Cs_1	2	2	3	2	2	NA	NA	NA	NA	2.8	2
Blue_eyed_Cs_2	2	2	3	2	2	NA	NA	NA	NA	3	NA
Blue_eyed_Cs_3	2	2	3	2	2	NA	NA	NA	NA	2.8	NA
Blue_eyed_Cs_4	2	2	3	2	2	NA	NA	NA	NA	2.6	NA
Blue_eyed_Cs_5	2	2	3	2	2	NA	NA	NA	NA	2.3	NA
Common_Vn_1	3	1	1	3	3	NA	NA	NA	NA	4.4	NA
Common_Vn_2	3	1	1	3	3	NA	NA	NA	NA	4.2	2
Common_Vn_3	3	1	1	3	3	NA	NA	NA	NA	5.1	1
Common_Vn_4	3	1	1	3	3	NA	NA	NA	NA	4.8	1
Common_Vn_5	3	1	1	3	3	NA	NA	NA	NA	4.8	2
